Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W-sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m-s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
244,Biggs,Sacramento Valley,10-13-2020,287,3.29, ,0, ,189, ,1.3, ,31.1, ,9.2, ,19.1, ,93, ,27, ,57, ,10.3, ,1, ,89.9, ,17.6, 
244,Biggs,Sacramento Valley,10-14-2020,288,6.11, ,0, ,189, ,1.1, ,32, ,12.4, ,23.2,Y,90, ,17, ,38,Y,8.2,Y,4.1, ,355.4, ,17.8, 
244,Biggs,Sacramento Valley,10-15-2020,289,7.11, ,0, ,185, ,0.7, ,32.7, ,19.4,R,25.2,Y,28, ,14, ,22,Y,1.7,Y,4.9,Y,421.7,Y,17.6, 
244,Biggs,Sacramento Valley,10-16-2020,290,5.45, ,0, ,188, ,0.8, ,34.4, ,13.3, ,24.7,Y,58, ,15, ,25,Y,3.5,Y,3, ,257.7, ,17.7, 
244,Biggs,Sacramento Valley,10-17-2020,291,3.21, ,0, ,184, ,1, ,35.1, ,8.7, ,20.3, ,84, ,15, ,41, ,6.8, ,1, ,90.6, ,17.6, 
244,Biggs,Sacramento Valley,10-18-2020,292,3.08, ,0, ,179, ,1.2, ,33.5, ,10, ,19.7, ,91, ,22, ,52, ,9.7, ,1, ,86.1, ,17.7, 
244,Biggs,Sacramento Valley,10-19-2020,293,2.95, ,0, ,175, ,1.2, ,32.3, ,9.2, ,18.8, ,94, ,24, ,58, ,10.3, ,1, ,88.4, ,17.6, 
244,Biggs,Sacramento Valley,10-20-2020,294,3.11, ,0, ,176, ,1.2, ,34.9,Y,8.6, ,19.3, ,96, ,20, ,53, ,9.5, ,1.1, ,96, ,17.4, 
244,Biggs,Sacramento Valley,10-21-2020,295,2.83, ,0, ,173, ,1.2, ,32.2, ,8.9, ,18.8, ,91, ,22, ,55, ,9.6, ,1, ,84.8, ,17.2, 
244,Biggs,Sacramento Valley,10-22-2020,296,5.34, ,0, ,171, ,0.6, ,24.8, ,10.8, ,18.7, ,67, ,15, ,28, ,-0.2, ,4.4, ,376.5, ,16.7, 
244,Biggs,Sacramento Valley,10-23-2020,297,3.39, ,0, ,171, ,0.6, ,29.7, ,10.5, ,17.2, ,68, ,17, ,32, ,0.6, ,1.9, ,163.6, ,16, 
244,Biggs,Sacramento Valley,10-24-2020,298,2.45, ,0, ,162, ,1.1, ,25, ,6, ,14.9, ,93, ,39, ,64, ,8.1, ,1.5, ,127, ,15.8, 
244,Biggs,Sacramento Valley,10-25-2020,299,3.9, ,0, ,155, ,0.7, ,19.9, ,8.3, ,13.5, ,97, ,19, ,48, ,2.8, ,3.8, ,328.8, ,15.6, 
244,Biggs,Sacramento Valley,10-26-2020,300,5.07, ,0, ,165, ,0.4,Y,21.4, ,8.9, ,14, ,45, ,15, ,25,Y,-5.5,Y,5.1,Y,439.2,Y,14.3, 
244,Biggs,Sacramento Valley,10-27-2020,301,4.22, ,0, ,164, ,0.7, ,27.2, ,7.8, ,16.8, ,67, ,22, ,35, ,1.3, ,3.3, ,286.8, ,14.3, 
244,Biggs,Sacramento Valley,10-28-2020,302,2.32, ,0, ,160, ,0.8, ,25, ,3.4, ,12.9, ,91, ,25, ,57, ,4.5, ,1, ,85.4, ,14.2, 
244,Biggs,Sacramento Valley,10-29-2020,303,2.26, ,0, ,158, ,0.9, ,26.5, ,2.7, ,13.2, ,98, ,21, ,60, ,5.6, ,0.8, ,72.5, ,13.9, 
244,Biggs,Sacramento Valley,10-30-2020,304,2.22, ,0.1, ,153, ,1, ,27.8, ,4.4, ,13.4, ,97, ,27, ,63, ,6.4, ,0.9, ,74.2, ,13.7, 
244,Biggs,Sacramento Valley,10-31-2020,305,2.22, ,0, ,150, ,1, ,28.4, ,5.1, ,14, ,97, ,26, ,60, ,6.4, ,0.9, ,78.8, ,13.7, 
244,Biggs,Sacramento Valley,11-01-20,306,2.39, ,0, ,149, ,1, ,30.2, ,6, ,14.9, ,96, ,24, ,58, ,6.8, ,0.9, ,75.4, ,13.6, 
244,Biggs,Sacramento Valley,11-02-20,307,2.42, ,0.1, ,149, ,1, ,29.5, ,5.1, ,15.2, ,98, ,24, ,57, ,6.8, ,0.9, ,81.5, ,13.6, 
244,Biggs,Sacramento Valley,11-03-20,308,2.24, ,0, ,144, ,1, ,26.7, ,6.6, ,14.4, ,94, ,29, ,63, ,7.4, ,1, ,88.8, ,13.7, 
244,Biggs,Sacramento Valley,11-04-20,309,2.16, ,0, ,138, ,1.1, ,28.2, ,5.7, ,14.5, ,96, ,24, ,64, ,7.9, ,0.9, ,79.7, ,13.6, 
244,Biggs,Sacramento Valley,11-05-20,310,2.23, ,0, ,139, ,1, ,26.5, ,6.8, ,15.9, ,87, ,30, ,57, ,7.4, ,1.1, ,95.6, ,14.1, 
244,Biggs,Sacramento Valley,11-06-20,311,2.22, ,0, ,121, ,0.8, ,18.1, ,9.2, ,14.1, ,80, ,33, ,52, ,4.4, ,2.1, ,180.7, ,14.6, 
244,Biggs,Sacramento Valley,11-07-20,312,1.82, ,0, ,129, ,0.8, ,17.6, ,5.1, ,10.7, ,90, ,40, ,65, ,4.4, ,1.7, ,146.1, ,13.7, 
244,Biggs,Sacramento Valley,11-08-20,313,2.93, ,0, ,147, ,0.6, ,14.8, ,2.2, ,8.8, ,96, ,28, ,51, ,-0.7, ,3.5, ,302.3, ,12.6, 
244,Biggs,Sacramento Valley,11-09-20,314,2.19, ,0, ,140, ,0.5, ,14.9, ,1.1, ,8, ,92, ,26, ,50, ,-1.9, ,2.3, ,198.2, ,11.5, 
244,Biggs,Sacramento Valley,11-10-20,315,1.79, ,0, ,140, ,0.6, ,16.3, ,-1.8, ,6.9, ,96, ,31, ,62, ,0.1, ,1.1, ,97.7, ,10.8, 
244,Biggs,Sacramento Valley,11-11-20,316,1.43, ,0, ,119, ,0.7, ,17.5, ,0.7, ,7.1, ,93, ,37, ,68, ,1.6, ,1.1, ,94, ,10.7, 
244,Biggs,Sacramento Valley,11-12-20,317,1.55, ,0.1, ,128, ,0.7, ,16.2, ,-2.2, ,6.6, ,98, ,37, ,69, ,1.4, ,1, ,82.5, ,10.1, 
244,Biggs,Sacramento Valley,11-13-2020,318,0.43, ,1, ,23, ,1, ,11.5, ,8, ,9.9, ,97, ,58, ,81, ,6.8, ,3.7, ,316.4, ,10.4, 
244,Biggs,Sacramento Valley,11-14-2020,319,1.05, ,0.1, ,93, ,1, ,17, ,4.8, ,9.2, ,100, ,53, ,85, ,6.8, ,1.4, ,117.7, ,10.9, 
244,Biggs,Sacramento Valley,11-15-2020,320,1.68, ,0, ,112, ,1, ,19.9, ,4.6, ,11.6, ,98, ,39, ,70, ,6.4, ,1.9, ,160.3, ,10.9, 
244,Biggs,Sacramento Valley,11-16-2020,321,1.67, ,0, ,131, ,1, ,21.7, ,5, ,11.3, ,98, ,50, ,77, ,7.4, ,1, ,83.6, ,11.1, 
244,Biggs,Sacramento Valley,11-17-2020,322,0.35, ,7, ,25, ,1.3, ,15.2, ,8.3, ,12.9, ,99, ,65, ,86, ,10.6, ,3.1, ,269.8, ,11.3, 
244,Biggs,Sacramento Valley,11-18-2020,323,1.58, ,0.1, ,94, ,1.3, ,19.2, ,9.5, ,14.5, ,96, ,48, ,77, ,10.5, ,3.5, ,303.4, ,12.3, 
244,Biggs,Sacramento Valley,11-19-2020,324,1.9, ,0, ,129, ,1, ,17.4, ,4.8, ,11.3, ,99, ,42, ,71, ,6.3, ,2.4, ,206.7, ,12, 
244,Biggs,Sacramento Valley,11-20-2020,325,1.92, ,0, ,133, ,0.7, ,18.2, ,4.7, ,10.6, ,88, ,33, ,57, ,2.5, ,1.8, ,157.1, ,11.4, 
244,Biggs,Sacramento Valley,11-21-2020,326,1.61, ,0, ,128, ,0.7, ,20.6, ,1.5, ,8.6, ,95, ,32, ,67, ,2.8, ,1.1, ,92.2, ,10.5, 
244,Biggs,Sacramento Valley,11-22-2020,327,1.23, ,0, ,103, ,0.9, ,16.5, ,1.5, ,8.9, ,99, ,44, ,76, ,5, ,1, ,90.2, ,10.2, 
244,Biggs,Sacramento Valley,11-23-2020,328,1.57, ,0, ,123, ,0.9, ,19.1, ,3.3, ,10.2, ,98, ,39, ,69, ,4.8, ,1.4, ,121, ,10.3, 
244,Biggs,Sacramento Valley,11-24-2020,329,1.62, ,0, ,124, ,0.8, ,18, ,6.8, ,11.5, ,79, ,37, ,60, ,4.1, ,1.7, ,146.9, ,10.3, 
244,Biggs,Sacramento Valley,11-25-2020,330,1.91, ,0, ,118, ,0.8, ,16.6, ,2.5, ,10.2, ,99, ,34, ,64, ,3.7, ,2.4, ,204.1, ,10.4, 
244,Biggs,Sacramento Valley,11-26-2020,331,2.69, ,0, ,125, ,0.6, ,16.3, ,6.5, ,10.9, ,63, ,32, ,48, ,0.3, ,4.1, ,353.8, ,10.1, 
244,Biggs,Sacramento Valley,11-27-2020,332,1.69, ,0, ,123, ,0.6, ,16.5, ,1.4, ,8.9, ,88, ,35, ,56, ,0.6, ,1.7, ,144.6, ,9.9, 
244,Biggs,Sacramento Valley,11-28-2020,333,1.42, ,0, ,120, ,0.7, ,18.8, ,0.6, ,7.6, ,94, ,34, ,68, ,2.2, ,1.1, ,96.8, ,9.4, 
244,Biggs,Sacramento Valley,11-29-2020,334,1.22, ,0, ,114, ,0.8, ,16.4, ,0.2, ,6.4, ,98, ,48, ,81, ,3.5, ,0.8, ,66.4, ,8.9, 
244,Biggs,Sacramento Valley,11-30-2020,335,1.34, ,0.1, ,116, ,0.8, ,18.8, ,0.8, ,7.4, ,100, ,35, ,74, ,3.1, ,0.9, ,78.6, ,8.7, 
244,Biggs,Sacramento Valley,12-01-20,336,1.48, ,0, ,117, ,0.7, ,18.6, ,3.6, ,9.6, ,84, ,37, ,62, ,2.6, ,1.2, ,107.3, ,8.7, 
244,Biggs,Sacramento Valley,12-02-20,337,1.42, ,0, ,115, ,0.7, ,19.6, ,1.5, ,8.1, ,99, ,30, ,68, ,2.6, ,0.8, ,71.8, ,8.6, 
244,Biggs,Sacramento Valley,12-03-20,338,1.21, ,0, ,97, ,0.8, ,18.6, ,2.1, ,8, ,98, ,40, ,74, ,3.7, ,0.9, ,81.6, ,8.5, 
244,Biggs,Sacramento Valley,12-04-20,339,1.45, ,0, ,113, ,0.7, ,20, ,1.3, ,8.3, ,100, ,33, ,68, ,2.8, ,0.9, ,78.5, ,8.4, 
244,Biggs,Sacramento Valley,12-05-20,340,1.08, ,0, ,88, ,0.8, ,15.8, ,1.4, ,7.9, ,98, ,49, ,77, ,4.1, ,1.1, ,95.4, ,8.2, 
244,Biggs,Sacramento Valley,12-06-20,341,1.69, ,0, ,83, ,0.8, ,18.2, ,2.3, ,10.9, ,92, ,35, ,59, ,3.2, ,2.5, ,219.4, ,8.4, 
244,Biggs,Sacramento Valley,12-07-20,342,3.1, ,0, ,153,R,0.7, ,21.3,Y,11.8, ,17.1,Y,53, ,27, ,36,Y,2,Y,3.5, ,299.5, ,9.3, 
244,Biggs,Sacramento Valley,12-08-20,343,1.67, ,0, ,116, ,0.7, ,18.3, ,2.6, ,10.4, ,95, ,35, ,56, ,2, ,1.7, ,145, ,9.3, 
244,Biggs,Sacramento Valley,12-09-20,344,1.69, ,0, ,101, ,0.8, ,19, ,0.9, ,9.8, ,100, ,35, ,63, ,3.1, ,1.8, ,154.7, ,8.7, 
244,Biggs,Sacramento Valley,12-10-20,345,2.02, ,0, ,114, ,0.7, ,19.9, ,6.3, ,12.1, ,86, ,25, ,47, ,1.1, ,2.3, ,195, ,9.2, 
244,Biggs,Sacramento Valley,12-11-20,346,0.65, ,0.1, ,48, ,0.8, ,12, ,3.9, ,8.1, ,94, ,55, ,73, ,3.6, ,2, ,173.7, ,8.9, 
244,Biggs,Sacramento Valley,12-12-20,347,1.01, ,0.4, ,81, ,1, ,14.3, ,6, ,9.2, ,100, ,60, ,84, ,6.7, ,2.1, ,177.7, ,9.4, 
244,Biggs,Sacramento Valley,12-13-2020,348,0.03, ,24.1, ,19, ,1.1, ,11.8, ,6.1, ,9.3, ,100, ,86, ,97, ,8.8, ,2.1, ,177.6, ,9.4, 
244,Biggs,Sacramento Valley,12-14-2020,349,1.14, ,0.1, ,98, ,0.9, ,14, ,3.5, ,8.3, ,100, ,55, ,80, ,5, ,2.3, ,202.8, ,9.5, 
244,Biggs,Sacramento Valley,12-15-2020,350,0.48,E,0,H,56,H,0.9,H,11.7, ,2.2, ,7.3,H,100,H,65,H,84, ,4.8, ,0.9,H,77.3,H,9,H
244,Biggs,Sacramento Valley,12-16-2020,351,0.42, ,4.4, ,50, ,0.9, ,10.7, ,2.3, ,7.2, ,100, ,76, ,91, ,5.8, ,1.5, ,132.9, ,8.5, 
244,Biggs,Sacramento Valley,12-17-2020,352,1.03, ,0,R,131,R,1, ,15.1, ,8.2, ,11.4, ,100, ,60, ,73, ,6.7, ,2.8, ,243.8, ,9.6, 
244,Biggs,Sacramento Valley,12-18-2020,353,1.79, ,0, ,111, ,0.8, ,18.2, ,4.5, ,9.2, ,92, ,37, ,65, ,2.9, ,2.8, ,242.8, ,9.1, 
244,Biggs,Sacramento Valley,12-19-2020,354,1.11, ,0, ,106, ,0.9, ,14.6, ,1.3, ,6.6, ,100, ,63, ,88, ,4.7, ,1.1, ,98.4, ,8.5, 
244,Biggs,Sacramento Valley,12-20-2020,355,1.04, ,0.1, ,107, ,0.8, ,14.3, ,0.4, ,5.6, ,100, ,61, ,92, ,4.4, ,1, ,83.5, ,8, 
244,Biggs,Sacramento Valley,12-21-2020,356,0.41, ,0.2, ,61, ,0.9, ,9.3, ,0, ,4.6, ,100, ,100, ,100, ,4.7, ,1, ,88.9, ,7.8, 
244,Biggs,Sacramento Valley,12-22-2020,357,1.93, ,0, ,101, ,0.7, ,14.4, ,5.2, ,9, ,100, ,34, ,65, ,2.8, ,3.6, ,311, ,8.2, 
244,Biggs,Sacramento Valley,12-23-2020,358,2.17, ,0, ,117, ,0.6, ,17.5, ,0.9, ,8.2, ,100, ,27, ,56, ,-0.1, ,2.8, ,246, ,7.9, 
244,Biggs,Sacramento Valley,12-24-2020,359,0.82, ,0.1, ,89, ,0.7, ,11.6, ,-1.1, ,4.1, ,100, ,62, ,91, ,2.7, ,1, ,88.4, ,7.3, 
244,Biggs,Sacramento Valley,12-25-2020,360,0.08, ,2.1, ,17, ,1, ,10.1, ,4.8, ,7.9, ,100, ,70, ,93, ,6.9, ,2.6, ,222, ,7.5, 
244,Biggs,Sacramento Valley,12-26-2020,361,1.34, ,0.5, ,103, ,1.1, ,17.4, ,5.5, ,11, ,100, ,48, ,84, ,8.4, ,2.4, ,205.8, ,8.5, 
244,Biggs,Sacramento Valley,12-27-2020,362,0.77, ,0, ,78, ,0.9, ,11.1, ,3.2, ,7.7, ,100, ,67, ,82, ,4.9, ,1.8, ,151.3, ,8.4, 
244,Biggs,Sacramento Valley,12-28-2020,363,1.09, ,0, ,81, ,0.8, ,15.6, ,3.9, ,8.5, ,100, ,51, ,74, ,4, ,1.7, ,151.1, ,8.4, 
244,Biggs,Sacramento Valley,12-29-2020,364,1.83, ,0, ,111, ,0.6, ,16.3, ,0.8, ,8, ,97, ,29, ,57, ,-0.1, ,2.6, ,224.3, ,8, 
244,Biggs,Sacramento Valley,12-30-2020,365,1.17, ,0, ,80, ,0.8, ,13, ,-0.4, ,7.4, ,99, ,57, ,80, ,4.1, ,2.6, ,223.5, ,7.5, 
244,Biggs,Sacramento Valley,01-01-21,1,1.01, ,0, ,87, ,0.9, ,12.5, ,3.9, ,8.6, ,95, ,67, ,82, ,5.6, ,2.4, ,204.2, ,8.3, 
244,Biggs,Sacramento Valley,01-02-21,2,0.12, ,0.6, ,28, ,1.1, ,10.7, ,7.8, ,9, ,100, ,89, ,97, ,8.5, ,1.3, ,116, ,8.7, 
244,Biggs,Sacramento Valley,01-03-21,3,0.5, ,0.1, ,58, ,1.2, ,13.2, ,7.5, ,9.5, ,100, ,86, ,97, ,9.1, ,1.3, ,116.1, ,9.1, 
244,Biggs,Sacramento Valley,01-04-21,4,0.78, ,8.2, ,57, ,1.2, ,16.2, ,7.5, ,11.1, ,100, ,60, ,90, ,9.4, ,3.8, ,327.8, ,9.5, 
244,Biggs,Sacramento Valley,01-05-21,5,1.26, ,0.1, ,110, ,0.9, ,15.9, ,3, ,8.3, ,100, ,57, ,85, ,5.9, ,1.4, ,124.6, ,9.1, 
244,Biggs,Sacramento Valley,01-06-21,6,0.39, ,1.2, ,50, ,1, ,11.7, ,2.2, ,7.6, ,100, ,88, ,97, ,7.1, ,1.6, ,136.4, ,8.6, 
244,Biggs,Sacramento Valley,01-07-21,7,0.59, ,0.1, ,64, ,0.9, ,14, ,2.6, ,6.8, ,100, ,65, ,91, ,5.4, ,1.5, ,133.1, ,8.4, 
244,Biggs,Sacramento Valley,01-08-21,8,0.57, ,2.7, ,65, ,1, ,13.6, ,4.3, ,8, ,100, ,69, ,93, ,7, ,1.6, ,137.7, ,8.4, 
244,Biggs,Sacramento Valley,01-09-21,9,1.59, ,0, ,116, ,0.8, ,17.8, ,4.7, ,9, ,98, ,34, ,70, ,3.7, ,2.5, ,211.9, ,8.2, 
244,Biggs,Sacramento Valley,01-10-21,10,0.81, ,0, ,79, ,0.9, ,13, ,2.4, ,7.3, ,100, ,66, ,88, ,5.4, ,1.3, ,114.2, ,8.2, 
244,Biggs,Sacramento Valley,01-11-21,11,1.15, ,0, ,105, ,0.9, ,15, ,2.2, ,7.7, ,100, ,58, ,90, ,6.1, ,1.2, ,104.5, ,8.1, 
244,Biggs,Sacramento Valley,01-12-21,12,0.11, ,0.3, ,24, ,1.1, ,12, ,6.5, ,9.3, ,100, ,83, ,96, ,8.7, ,1.2, ,106.3, ,8.4, 
244,Biggs,Sacramento Valley,1-13-2021,13,0.85, ,0, ,72, ,1.2, ,16.6, ,9.8, ,12.5, ,95, ,70, ,83, ,9.8, ,1.9, ,163.5, ,9.3, 
244,Biggs,Sacramento Valley,1-14-2021,14,1.5, ,0, ,123, ,1.1, ,20.5, ,6, ,11.2, ,100, ,52, ,84, ,8.6, ,1.3, ,112.1, ,9.6, 
244,Biggs,Sacramento Valley,1-15-2021,15,0.96, ,0.1, ,87, ,1.1, ,16.8, ,4.4, ,10.2, ,100, ,73, ,92, ,9, ,1.1, ,97.7, ,9.3, 
244,Biggs,Sacramento Valley,1-16-2021,16,1.73, ,0, ,119, ,1, ,24.2,Y,5.7, ,13.4, ,100, ,38, ,68, ,7.5, ,1.4, ,122.4, ,9.6, 
244,Biggs,Sacramento Valley,1-17-2021,17,2.31, ,0, ,128, ,1, ,25.9,Y,4.9, ,14.6,Y,100, ,33, ,62,Y,7.4,Y,1.9, ,164.4, ,9.8, 
244,Biggs,Sacramento Valley,1-18-2021,18,4.62, ,0, ,135, ,0.6, ,21.3, ,12.5,Y,16.6,Y,40, ,20, ,30,Y,-0.9,Y,5.1, ,438.3, ,10.1, 
244,Biggs,Sacramento Valley,1-19-2021,19,3.79, ,0, ,131, ,0.5, ,17.6, ,8.2, ,12.6, ,44, ,25, ,34, ,-2.7, ,5, ,432.2, ,9.6, 
244,Biggs,Sacramento Valley,1-20-2021,20,2.05, ,0, ,135, ,0.5, ,20.5, ,2.9, ,10.4, ,99, ,20, ,43, ,-1.5, ,1.7, ,143.3, ,9.1, 
244,Biggs,Sacramento Valley,1-21-2021,21,1.56, ,0, ,112, ,0.7, ,16.7, ,-0.4, ,8.5, ,100, ,34, ,65, ,2.3, ,1.2, ,105.6, ,8.5, 
244,Biggs,Sacramento Valley,1-22-2021,22,1.2, ,1, ,101, ,0.9, ,14.6, ,5.6, ,8.9, ,98, ,59, ,82, ,6, ,2.1, ,183.5, ,9, 
244,Biggs,Sacramento Valley,1-23-2021,23,1.78, ,0, ,130, ,0.8, ,15.9, ,2.5, ,8.7, ,100, ,39, ,71, ,3.7, ,2.1, ,180.9, ,8.9, 
244,Biggs,Sacramento Valley,1-24-2021,24,0.67, ,1.9, ,55, ,0.8, ,11, ,0.3, ,6.5, ,99, ,64, ,85, ,4.2, ,2.3, ,197.3, ,8.4, 
244,Biggs,Sacramento Valley,1-25-2021,25,2.38, ,0, ,134, ,0.6, ,12.1, ,2.9, ,7.7, ,87, ,37, ,55, ,-0.6, ,4.2, ,360, ,8.3, 
244,Biggs,Sacramento Valley,1-26-2021,26,1.2, ,14.3, ,67, ,0.6, ,8.9, ,-3.6, ,4.1, ,99, ,54, ,76, ,0.3, ,4.9,Y,421.1,Y,7.3, 
244,Biggs,Sacramento Valley,1-27-2021,27,0.59, ,9.1, ,44, ,0.9, ,10, ,4.7, ,7.3, ,100, ,83, ,90, ,5.9, ,6.2,R,535.8,R,7.2, 
244,Biggs,Sacramento Valley,1-28-2021,28,0.39, ,11.4, ,46, ,1.1, ,11.4, ,7.6, ,9.1, ,100, ,86, ,95, ,8.3, ,3.1, ,263.8, ,8.2, 
244,Biggs,Sacramento Valley,1-29-2021,29,0.71, ,1.9, ,80, ,1, ,11.5, ,6.4, ,8.1, ,100, ,76, ,92, ,6.8, ,1.6, ,137.2, ,8.7, 
244,Biggs,Sacramento Valley,1-30-2021,30,1.4, ,0, ,114, ,0.9, ,15.6, ,5.9, ,9.6, ,93, ,50, ,77, ,5.8, ,1.4, ,116.7, ,9, 
244,Biggs,Sacramento Valley,1-31-2021,31,0.85, ,0, ,69, ,1, ,16, ,8.1, ,11, ,89, ,65, ,78, ,7.2, ,1.2, ,106.6, ,9.4, 
244,Biggs,Sacramento Valley,02-01-21,32,1.38, ,4.6, ,82, ,1.1, ,17.5, ,7.8, ,12.2, ,100, ,54, ,80, ,8.9, ,2.7, ,232.2, ,9.9, 
244,Biggs,Sacramento Valley,02-02-21,33,0.97, ,2.8, ,92, ,1.3, ,15.3, ,6.9, ,12.1, ,100, ,74, ,90, ,10.5, ,3.2, ,280.5, ,10.7, 
244,Biggs,Sacramento Valley,02-03-21,34,1.02, ,0.2, ,84, ,0.9, ,13.6, ,3.6, ,8, ,100, ,68, ,85, ,5.6, ,2.7, ,229.5, ,9.8, 
244,Biggs,Sacramento Valley,02-04-21,35,3, ,0, ,31, ,0.7, ,15.8, ,9.4, ,12.9, ,82, ,38, ,44, ,1, ,4.2, ,360.4, ,9.3, 
244,Biggs,Sacramento Valley,02-05-21,36,1.9, ,0, ,162,R,0.8, ,18.9, ,0.9, ,9.6, ,98, ,42, ,66, ,3.7, ,1.6, ,135.3, ,9, 
244,Biggs,Sacramento Valley,02-06-21,37,1.88, ,0, ,164, ,0.9, ,19, ,0.9, ,10.1, ,100, ,41, ,70, ,4.8, ,1.4, ,116.8, ,9.1, 
244,Biggs,Sacramento Valley,02-07-21,38,1.91, ,0, ,165, ,0.9, ,19.5, ,2.2, ,9.9, ,100, ,39, ,73, ,5.2, ,1.3, ,110.2, ,9.1, 
244,Biggs,Sacramento Valley,02-08-21,39,1.11, ,0, ,97, ,0.9, ,16.6, ,3.2, ,9.5, ,100, ,48, ,78, ,5.8, ,1.1, ,96.9, ,9, 
244,Biggs,Sacramento Valley,02-09-21,40,1.7, ,0, ,131, ,1.1, ,19.2, ,8.8, ,12.9, ,93, ,50, ,77, ,8.9, ,1.2, ,99.4, ,9.9, 
244,Biggs,Sacramento Valley,02-10-21,41,2.05, ,0, ,160, ,1.1, ,21.3, ,4.5, ,12.3, ,100, ,46, ,78, ,8.6, ,1.1, ,96, ,10.5, 
244,Biggs,Sacramento Valley,02-11-21,42,0.23, ,7.4, ,34, ,1.2, ,12.6, ,8.6, ,10.7, ,97, ,79, ,90, ,9.1, ,2.9, ,254.5, ,10.4, 
244,Biggs,Sacramento Valley,02-12-21,43,1.96, ,0.8, ,159, ,1.1, ,18.4, ,7.1, ,11.9, ,100, ,43, ,76, ,7.9, ,1.5, ,128.8, ,10.5, 
244,Biggs,Sacramento Valley,2-13-2021,44,2.51, ,0.8, ,169, ,1, ,18.5, ,8.8, ,12.8, ,96, ,41, ,68, ,7.1, ,2.6, ,228.2, ,11.3, 
244,Biggs,Sacramento Valley,2-14-2021,45,1.03, ,0, ,68, ,0.8, ,13.6, ,6.4, ,10, ,90, ,51, ,66, ,3.9, ,1.8, ,155.3, ,10.7, 
244,Biggs,Sacramento Valley,2-15-2021,46,0.21, ,0.2, ,39, ,1.3, ,15, ,8.5, ,11.2, ,100, ,86, ,95, ,10.4, ,2.2, ,189.2, ,10.6, 
244,Biggs,Sacramento Valley,2-16-2021,47,2.25, ,0, ,172, ,0.8, ,18, ,3.8, ,10.4, ,100, ,37, ,67, ,4.5, ,1.9, ,166.5, ,10.7, 
